央视节目,#genre#
东方卫视,http://61.188.85.118:8001/udp/239.93.0.123:5140
东方卫视,http://61.188.85.163:8001/udp/239.93.0.123:5140
东方卫视[576*324],http://125.70.183.105:8123/udp/239.93.0.70:5140
东方卫视[576*324],http://125.70.183.105:8123/udp/239.93.1.44:5140
东方卫视[576*324],http://125.70.183.105:8123/udp/239.93.1.82:5140
东方卫视[576*324],http://61.188.85.118:8001/udp/239.93.0.70:5140
东方卫视[576*324],http://61.188.85.118:8001/udp/239.93.1.44:5140
东方卫视[576*324],http://61.188.85.118:8001/udp/239.93.1.82:5140
东方卫视[576*324],http://61.188.85.163:8001/udp/239.93.0.70:5140
东方卫视[576*324],http://61.188.85.163:8001/udp/239.93.1.44:5140
东方卫视[576*324],http://61.188.85.163:8001/udp/239.93.1.82:5140
东南卫视,http://106.59.2.162:55555/udp/239.200.201.69:8764
东南卫视,http://113.248.110.83:8181/udp/235.254.198.129:7980
东南卫视,http://113.248.110.83:8181/udp/235.254.198.35:1416
东南卫视,http://113.249.227.18:8000/udp/235.254.198.129:7980
东南卫视,http://113.249.227.18:8000/udp/235.254.198.35:1416
东南卫视,http://119.39.79.108:4022/udp/228.1.1.37:6037
东南卫视,http://119.86.72.213:4022/udp/235.254.198.129:7980
东南卫视,http://119.86.72.213:4022/udp/235.254.198.35:1416
东南卫视,http://125.70.183.105:8123/udp/239.93.0.42:5140
东南卫视,http://125.70.183.105:8123/udp/239.93.0.81:5140
东南卫视,http://61.188.85.118:8001/udp/239.93.0.42:5140
东南卫视,http://61.188.85.118:8001/udp/239.93.0.81:5140
东南卫视,http://61.188.85.163:8001/udp/239.93.0.42:5140
东南卫视,http://61.188.85.163:8001/udp/239.93.0.81:5140
东南卫视[576*324],http://125.70.183.105:8123/udp/239.93.1.201:5140
东南卫视[576*324],http://61.188.85.118:8001/udp/239.93.1.201:5140
东南卫视[576*324],http://61.188.85.163:8001/udp/239.93.1.201:5140
甘肃卫视,http://106.59.2.162:55555/udp/239.200.200.186:8356
甘肃卫视,http://106.59.2.162:55555/udp/239.200.200.63:8320
甘肃卫视,http://113.248.110.83:8181/udp/235.254.198.48:1468
甘肃卫视,http://113.249.227.18:8000/udp/235.254.198.48:1468
甘肃卫视,http://119.39.79.108:4022/udp/228.1.1.55:6055
甘肃卫视,http://119.86.72.213:4022/udp/235.254.198.48:1468
甘肃卫视[576*324],http://125.70.183.105:8123/udp/239.93.1.215:5140
甘肃卫视[576*324],http://61.188.85.118:8001/udp/239.93.1.215:5140
甘肃卫视[576*324],http://61.188.85.163:8001/udp/239.93.1.215:5140
广东卫视,http://106.59.2.162:55555/udp/239.200.201.35:8768
广东卫视,http://113.248.110.83:8181/udp/235.254.196.204:1088
广东卫视,http://113.248.110.83:8181/udp/235.254.198.37:1424
广东卫视,http://113.249.227.18:8000/udp/235.254.196.204:1088
广东卫视,http://113.249.227.18:8000/udp/235.254.198.37:1424
广东卫视,http://119.39.79.108:4022/udp/228.1.1.27:6027
广东卫视,http://119.86.72.213:4022/udp/235.254.196.204:1088
广东卫视,http://119.86.72.213:4022/udp/235.254.198.37:1424
广东卫视,http://125.70.183.105:8123/udp/239.93.0.181:5140
广东卫视,http://61.188.85.118:8001/udp/239.93.0.181:5140
广东卫视,http://61.188.85.163:8001/udp/239.93.0.181:5140
广东卫视[576*324],http://125.70.183.105:8123/udp/239.93.0.201:5140
广东卫视[576*324],http://125.70.183.105:8123/udp/239.93.1.92:5140
广东卫视[576*324],http://61.188.85.118:8001/udp/239.93.0.201:5140
广东卫视[576*324],http://61.188.85.118:8001/udp/239.93.1.92:5140
广东卫视[576*324],http://61.188.85.163:8001/udp/239.93.0.201:5140
广东卫视[576*324],http://61.188.85.163:8001/udp/239.93.1.92:5140
广西卫视,http://113.248.110.83:8181/udp/235.254.198.38:1428
广西卫视,http://113.249.227.18:8000/udp/235.254.198.38:1428
广西卫视,http://119.39.79.108:4022/udp/228.1.1.57:6057
广西卫视,http://119.86.72.213:4022/udp/235.254.198.38:1428
广西卫视,http://125.70.183.105:8123/udp/239.93.42.46:5140
广西卫视,http://61.188.85.118:8001/udp/239.93.42.46:5140
广西卫视,http://61.188.85.163:8001/udp/239.93.42.46:5140
广西卫视[576*324],http://125.70.183.105:8123/udp/239.93.1.203:5140
广西卫视[576*324],http://61.188.85.118:8001/udp/239.93.1.203:5140
广西卫视[576*324],http://61.188.85.163:8001/udp/239.93.1.203:5140
贵州卫视,http://113.248.110.83:8181/udp/235.254.198.185:7980
贵州卫视,http://113.248.110.83:8181/udp/235.254.198.30:1396
贵州卫视,http://113.249.227.18:8000/udp/235.254.198.185:7980
贵州卫视,http://113.249.227.18:8000/udp/235.254.198.30:1396
贵州卫视,http://119.39.79.108:4022/udp/228.1.1.52:6052
贵州卫视,http://119.86.72.213:4022/udp/235.254.198.185:7980
贵州卫视,http://119.86.72.213:4022/udp/235.254.198.30:1396
贵州卫视,http://125.70.183.105:8123/udp/239.93.0.131:5140
贵州卫视,http://61.188.85.118:8001/udp/239.93.0.131:5140
贵州卫视,http://61.188.85.163:8001/udp/239.93.0.131:5140
贵州卫视[576*324],http://125.70.183.105:8123/udp/239.93.1.200:5140
贵州卫视[576*324],http://61.188.85.118:8001/udp/239.93.1.200:5140
贵州卫视[576*324],http://61.188.85.163:8001/udp/239.93.1.200:5140
贵州卫视[768*576],http://125.70.183.105:8123/udp/239.93.0.127:5140
